Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,26,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,76923.0769230769,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,38461.54,38461.54,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,349,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,60570,2,2,72,136,36,36,36.0,0.0,68,68,68.0,0.0,3434.04325573716,66.0392933795608,20190.0,34964.91,60564,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,33.019646,33.019646,36,68,48.8,17.527122,307.2,0,0,0,0,0,0,0,0,1,61.0,36.0,68.0,0,0,0,0,0,0,2,72,2,136,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,46704,4,5,1594,214,1242,0,398.5,585.12305,196,0,42.8,85.6808,38711.8876327509,192.702980472765,5838.0,10611.769,23146,1,23320,7773.3335,13367.682,23209,48,23558,5889.5,11466.425,23086,1,0,0,0,0,92,112,85.64577,107.05721,0,1242,180.8,390.7192,152661.52,0,0,0,1,0,0,0,0,1,200.88889,398.5,42.8,0,0,0,0,0,0,4,1594,5,214,8192,1024,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,313,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6389.77635782748,313.0,0.0,313,313,313,313.0,0.0,313,313,0,0.0,0.0,0,0,0,0,0,0,64,0,6389.7764,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,250,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,142,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14084.5070422535,142.0,0.0,142,142,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,7042.2534,7042.2534,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,340,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,30873,1,1,56,97,56,56,56.0,0.0,97,97,97.0,0.0,4955.78660965893,64.781524309267,30873.0,0.0,30873,30873,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.390762,32.390762,56,97,69.666664,23.671362,560.3333,0,0,0,0,0,0,0,0,1,104.5,56.0,97.0,0,0,0,0,0,0,1,56,1,97,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,30683,2,2,76,108,38,38,38.0,0.0,54,54,54.0,0.0,5996.80604895219,130.365348890265,10227.667,17670.686,30632,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,65.18268,65.18268,38,54,44.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,55.5,38.0,54.0,0,0,0,0,0,0,2,76,2,108,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,190389,14,9,1978,4128,1368,0,141.28572,361.4046,1418,0,458.66666,601.24976,32071.1805829118,120.805298625446,8654.046,15932.382,50772,1,190389,14645.308,21277.998,52644,1,151890,18986.25,23370.002,60358,50,0,0,0,0,460,296,73.53366,47.271637,0,1418,254.41667,475.91348,226493.64,0,0,0,1,0,0,0,0,0,265.47827,141.28572,458.66666,0,0,0,0,0,0,14,1978,9,4128,65535,362,7,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,864,2,2,88,472,44,44,44.0,0.0,236,236,236.0,0.0,648148.148148148,4629.62962962963,288.0,493.6345,858,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,2314.8147,2314.8147,44,236,120.8,105.16273,11059.2,0,0,0,0,0,0,0,0,1,151.0,44.0,236.0,0,0,0,0,0,0,2,88,2,472,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,66955935,36,68,887,74034,117,0,24.63889,40.692684,2836,0,1088.7354,633.55786,1118.95980543024,1.55326036444715,650057.6,5813196.5,58579129,0,66898005,1911371.6,9944887.0,58579129,1,66918973,998790.6,7212486.5,58656931,1,1,0,0,0,1152,2176,0.53766704,1.0155933,0,2836,713.97144,720.9407,519755.4,0,1,0,0,1,0,0,0,1,720.83655,24.63889,1088.7354,0,0,0,0,0,0,36,887,68,74034,2480,365,10,32,57397.5,29016.127,77915,36880,33122732.0,36000784.0,58579129,7666334,Benign
6,64960471,10,8,1081,4423,681,0,108.1,215.93233,1486,0,552.875,739.435,84.7284497059758,0.277091586974485,3821204.2,11292777.0,44982565,127,64960471,7217830.0,15090393.0,44982565,127,60990420,8712917.0,17068476.0,45049403,216,0,0,0,0,212,184,0.15393977,0.12315182,0,1486,289.6842,538.2477,289710.56,0,0,0,1,0,0,0,0,0,305.77777,108.1,552.875,0,0,0,0,0,0,10,1081,8,4423,8192,115,9,20,119623.5,111385.58,198385,40862,30396148.0,20628308.0,44982565,15809731,Benign
6,37,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,54054.0540540541,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,27027.027,27027.027,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,352,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,6004105,4,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999316301097333,1200821.0,2659000.5,5957340,56,6004105,2001368.4,3425972.0,5957340,23329,23438,23438.0,0.0,23438,23438,0,0,0,0,136,80,0.6662109,0.33310544,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,2,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,401,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,29925.187032419,4987.53117206983,401.0,0.0,401,401,401,401.0,0.0,401,401,0,0.0,0.0,0,0,0,0,0,0,40,0,4987.5312,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,16425,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,48051,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,3579.53008262055,83.2448856423384,16017.0,27737.062,48045,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,41.622444,41.622444,35,51,41.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,51.75,35.0,51.0,0,0,0,0,0,0,2,70,2,102,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,186,2,2,46,172,23,23,23.0,0.0,86,86,86.0,0.0,1172043.01075269,21505.376344086,62.0,22.538855,88,48,50,50.0,0.0,50,50,48,48.0,0.0,48,48,0,0,0,0,64,64,10752.688,10752.688,23,86,48.2,34.50652,1190.7,0,0,0,0,0,0,0,0,1,60.25,23.0,86.0,0,0,0,0,0,0,2,46,2,172,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,110,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,109090.909090909,18181.8181818182,110.0,0.0,110,110,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,9090.909,9090.909,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,11256,64165,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,52,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38461.5384615385,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19230.77,19230.77,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,302,404,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,7703236,6,7,1267,456,687,0,211.16667,308.0204,251,0,65.14286,98.91145,223.672233331551,1.68760245694147,641936.3,2177293.2,7555522,3,147711,29542.2,27810.572,61831,145,7660833,1276805.5,3085400.5,7574710,3,0,0,0,0,132,152,0.7788935,0.908709,0,687,123.07143,218.08342,47560.38,0,0,0,1,0,0,0,0,1,132.53847,211.16667,65.14286,0,0,0,0,0,0,6,1267,7,456,8192,67,5,20,147711.0,0.0,147711,147711,7555522.0,0.0,7555522,7555522,Benign
6,29262,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,68.3480281593876,29262.0,0.0,29262,29262,29262,29262.0,0.0,29262,29262,0,0.0,0.0,0,0,0,0,0,0,64,0,68.34803,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,33300,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,431227,10,8,1235,7197,887,0,123.5,276.39838,1448,0,899.625,613.79333,19553.5066218024,41.7413566404701,25366.295,46434.76,110792,3,431227,47914.11,55883.383,111215,3,327644,46806.285,58176.336,111179,49,0,0,0,0,328,264,23.189642,18.551714,0,1448,443.78946,587.36,344991.72,0,0,0,1,0,0,0,0,0,468.44446,123.5,899.625,0,0,0,0,0,0,10,1235,8,7197,29200,10,4,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,145,3,1,18,0,6,6,6.0,0.0,0,0,0.0,0.0,124137.931034483,27586.2068965517,48.333332,36.50114,85,12,145,72.5,34.64823,97,48,0,0.0,0.0,0,0,0,0,0,0,60,32,20689.654,6896.552,0,6,4.8,2.6832817,7.2,1,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0,0,0,0,0,0,3,18,1,0,0,972,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,111648808,2,2,105,217,55,50,52.5,3.535534,118,99,108.5,13.435029,2.88404332986699,0.035826625215739,37216268.0,64355520.0,111527625,60412,111588037,111588040.0,0.0,111588037,111588037,111588396,111588400.0,0.0,111588396,111588396,0,0,0,0,40,52,0.017913312,0.017913312,50,118,74.4,31.910812,1018.3,0,0,0,0,0,0,0,0,1,93.0,52.5,108.5,0,0,0,0,0,0,2,105,2,217,-1,-1,1,20,60412.0,0.0,60412,60412,111527624.0,0.0,111527625,111527625,Benign
6,117201944,40,57,8836,52043,1706,0,220.9,565.366,2495,0,913.0351,713.0127,519.436776577699,0.827631323248358,1220853.6,3258218.0,10210626,6,117201944,3005178.0,4604431.0,10240047,47,113716133,2030645.2,4079745.5,10240222,47,0,0,0,0,1288,1832,0.34129128,0.48634005,0,2495,621.2143,736.288,542120.06,0,0,0,1,0,0,0,0,1,627.6185,220.9,913.0351,0,0,0,0,0,0,40,8836,57,52043,29200,184,8,32,160854.73,435410.25,1473666,29381,10176987.0,75190.836,10210626,10002530,Benign
6,5463272,8,7,380,5463,205,0,47.5,76.45727,2021,0,780.4286,838.3837,1069.50560030692,2.74560739425019,390233.72,1371868.2,5151817,1,5463272,780467.44,1929819.8,5151817,1,288890,48148.332,92593.164,235571,50,0,0,0,0,184,152,1.464324,1.2812835,0,2021,365.1875,653.50256,427065.62,0,0,0,1,0,0,0,0,0,389.53333,47.5,780.4286,0,0,0,0,0,0,8,380,7,5463,8192,119,6,20,311454.0,0.0,311454,311454,5151817.0,0.0,5151817,5151817,Benign
17,62832,1,1,46,176,46,46,46.0,0.0,176,176,176.0,0.0,3533.23147440794,31.8309141838554,62832.0,0.0,62832,62832,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,15.915457,15.915457,46,176,89.333336,75.055534,5633.3335,0,0,0,0,0,0,0,0,1,134.0,46.0,176.0,0,0,0,0,0,0,1,46,1,176,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,68,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,176470.588235294,29411.7647058824,68.0,0.0,68,68,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,14705.883,14705.883,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,0,946,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,118538,12,6,879,3973,405,0,73.25,130.5451,1448,0,662.1667,715.3526,40932.0217989168,151.850039649733,6972.8237,10120.927,24215,1,118538,10776.182,11069.001,24567,1,92210,18442.0,16947.938,33673,211,0,0,0,0,396,200,101.23336,50.61668,0,1448,255.36842,483.17447,233457.58,0,0,0,1,0,0,0,0,0,269.55554,73.25,662.1667,0,0,0,0,0,0,12,879,6,3973,65535,61,6,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,45248687,12,12,1254,3924,661,0,104.5,205.45714,1460,0,327.0,559.2253,114.434259716752,0.53040213078448,1967334.2,3849398.8,10006869,2,45248687,4113517.0,4851845.0,10100547,972,40690859,3699169.0,5072852.0,10100665,2,0,0,0,0,252,252,0.26520106,0.26520106,0,1460,207.12,420.6208,176921.86,0,0,0,1,0,0,0,0,1,215.75,104.5,327.0,0,0,0,0,0,0,12,1254,12,3924,8192,40958,11,20,236874.25,286029.22,665918,93678,9935862.0,136209.02,10006869,9731588,Benign
6,9115,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,1316.51124520022,219.418540866703,9115.0,0.0,9115,9115,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,109.70927,109.70927,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,0,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,221,2,2,92,248,46,46,46.0,0.0,124,124,124.0,0.0,1538461.53846154,18099.5475113122,73.666664,125.86236,219,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,9049.773,9049.773,46,124,77.2,42.72236,1825.2,0,0,0,0,0,0,0,0,1,96.5,46.0,124.0,0,0,0,0,0,0,2,92,2,248,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,211,2,0,37,0,37,0,18.5,26.16295,0,0,0.0,0.0,175355.450236967,9478.67298578199,211.0,0.0,211,211,211,211.0,0.0,211,211,0,0.0,0.0,0,0,1,0,0,0,64,0,9478.673,0.0,0,37,24.666666,21.36196,456.33334,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,0,0,0,0,0,0,2,37,0,0,972,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,214,2,1,31,6,31,0,15.5,21.920311,6,6,6.0,0.0,172897.196261682,14018.691588785,107.0,70.71068,157,57,214,214.0,0.0,214,214,0,0.0,0.0,0,0,1,0,0,0,64,20,9345.794,4672.897,0,31,17.0,16.35033,267.33334,0,1,0,0,1,0,0,0,0,22.666666,15.5,6.0,0,0,0,0,0,0,2,31,1,6,1394,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,240,2,2,64,536,32,32,32.0,0.0,268,268,268.0,0.0,2500000.0,16666.6666666667,80.0,132.50282,233,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,8333.333,8333.333,32,268,126.4,129.26253,16708.8,0,0,0,0,0,0,0,0,1,158.0,32.0,268.0,0,0,0,0,0,0,2,64,2,536,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,3,2,0,37,0,31,6,18.5,17.67767,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.7,0.0,6,31,22.666666,14.433757,208.33333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,0,0,0,0,0,0,2,37,0,0,1069,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,5265410,7,4,635,168,517,0,90.71429,190.7072,168,0,42.0,84.0,152.504743220376,2.089106071512,526541.0,1605763.4,5096072,2,5265410,877568.3,2103924.0,5172054,2,132892,44297.332,38911.152,76405,1024,0,0,0,0,232,136,1.3294312,0.7596749,0,517,66.916664,150.84879,22755.355,0,0,0,1,0,0,0,0,0,73.0,90.71429,42.0,0,0,0,0,0,0,7,635,4,168,29200,340,3,32,169336.0,0.0,169336,169336,5096072.0,0.0,5096072,5096072,Benign
6,53,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,226415.094339623,37735.8490566038,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,18867.924,18867.924,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,114,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,77262,2,2,110,482,55,55,55.0,0.0,241,241,241.0,0.0,7662.24016981181,51.771893039269,25754.0,44562.207,77210,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,80,64,25.885946,25.885946,55,241,129.4,101.876396,10378.8,0,0,0,0,0,0,0,0,1,161.75,55.0,241.0,0,0,0,0,0,0,2,110,2,482,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,88677,10,5,713,479,469,0,71.3,147.28735,341,0,95.8,149.52992,13442.0424687348,169.153218985757,6334.0713,8853.927,23421,4,88677,9853.0,10870.237,24162,4,55996,13999.0,12965.983,25568,381,0,0,0,0,332,168,112.768814,56.384407,0,469,74.5,139.66628,19506.666,0,0,0,1,0,0,0,0,0,79.46667,71.3,95.8,0,0,0,0,0,0,10,713,5,479,65535,972,5,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,257,2,2,84,228,42,42,42.0,0.0,114,114,114.0,0.0,1214007.78210117,15564.2023346303,85.666664,144.0567,252,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,7782.101,7782.101,42,114,70.8,39.436024,1555.2,0,0,0,0,0,0,0,0,1,88.5,42.0,114.0,0,0,0,0,0,0,2,84,2,228,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,31139,1,1,54,82,54,54,54.0,0.0,82,82,82.0,0.0,4367.51340762388,64.22813834741,31139.0,0.0,31139,31139,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.11407,32.11407,54,82,63.333332,16.165808,261.33334,0,0,0,0,0,0,0,0,1,95.0,54.0,82.0,0,0,0,0,0,0,1,54,1,82,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,62995,1,1,56,72,56,56,56.0,0.0,72,72,72.0,0.0,2031.9072942297,31.7485514723391,62995.0,0.0,62995,62995,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,15.874276,15.874276,56,72,61.333332,9.237604,85.333336,0,0,0,0,0,0,0,0,1,92.0,56.0,72.0,0,0,0,0,0,0,1,56,1,72,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,118896066,22,20,1816,5228,433,0,82.545456,169.10936,746,0,261.4,364.83945,59.2450216140877,0.35324970298008,2899904.0,4443017.0,10010164,2,118859660,5659984.0,4842720.0,10046402,255,118859882,6255783.5,4734869.0,10046505,20657,0,0,0,0,488,544,0.18503556,0.16821414,0,746,163.81395,288.3534,83147.68,0,0,0,1,0,0,0,0,0,167.71428,82.545456,261.4,0,0,0,0,0,0,22,1816,20,5228,8192,368,18,20,257298.33,699804.94,2470594,36175,9647673.0,1188695.9,10010164,5877428,Benign
